貼文編號,粉絲專頁編號,粉絲專頁名稱,標題,說明,時間長度（秒）,發佈時間,說明文字類型,永久連結,多文發佈貼文,是分享的貼文,貼文類型,語言,自訂標籤,贊助內容狀態,資料留言,日期,觀看次數,觸及人數,心情、留言和分享次數,心情數,留言,分享,總點擊次數,其他點擊次數,"符合目標廣告受眾的用戶瀏覽情形（Photo Click）",連結點擊次數,觀看秒,平均觀看秒,"收益估計值 （美元）","廣告 CPM （美元）",廣告曝光次數
1062767309210740,100064324411149,跨界銀行家尼爾斯,"🧠 Nvidia 收購 Gretel，提升合成數據能力
Nvidia 已以超過 3.2 億美元收購合成數據公司 Gretel，並將其技術及 80 名員工整合至 Nvidia 的 AI 服務中。此舉旨在為開發者提供生成合成數據的工具，解決 AI 訓練中數據稀缺與隱私問題。

🧠 Elon Musk 的 xAI 與 Nvidia 加入 300 億美元 AI 基礎建設基金
Elon Musk 的 AI 公司 xAI 和 Nvidia 已加入由 BlackRock、Microsoft 和阿布達比支持的 300 億美元 AI 基礎建設基金。這一合作專注於開發數據中心與能源項目，以滿足生成式 AI 的需求，突顯出在 AI 基礎建設上的投資熱潮。

🧠 Deloitte 在 AI 變革中採用工程師思維模式
Deloitte 合夥人 Jillian Wanner 強調，隨著 AI 擾動顧問業務，企業需要採取“工程師為主”的思維模式。該公司正投入數十億資金進行 AI 轉型，期望員工能主要以技術專家和工程師的角色來應對客戶對 AI 應用日益增長的需求。

🧠 Nvidia GTC 2025：AI 硬體與工具的重大進展
在 Nvidia 的 GTC 2025 大會上，執行長黃仁勳發布了多項重要進展，包括 Blackwell GPU 的更新以及針對 AI 工廠的 Nvidia Dynamo 作業系統。這些新技術旨在提升 AI 數據中心的推理效能與效率。

🧠 具爭議性的“胖胖”濾鏡引發歧視討論
一個利用生成式 AI 技術製成的 TikTok“胖胖”濾鏡新潮流，因涉嫌推廣肥胖恐懼症與身材羞辱而受到批評。批評者認為，這一趨勢助長了有害的美麗標準，並對身材較大者產生負面影響。",,0,"03/19/2025 19:42",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0iuDabMYdi7skEptH3yiT3xmtDkeQEz7hWXYLDW6U15ezUXYujqVvZJ7Y2YhLBzc6l&id=100064324411149,0,0,文字,,,,,總期間,417,201,6,5,0,1,4,4,,,,,,,
1341730621314406,100064324411149,跨界銀行家尼爾斯,"同一個時代，同樣叫做工程師，有人因 AI 失去工作，也有人因 AI 找到工作。決定你在哪一邊的，不是學歷年資，而是調整速度。新職缺已經靜靜上線了

———

Block 剛宣布裁員一半工程師，同一時間 Indeed 數據顯示軟體工程師職缺卻快速回升。整體就業市場幾乎沒有動靜，這條線卻獨自飆升。這個分歧說明了一件事：被裁的和被招的，不是同一種人

大公司裁掉的，是用舊方式工作的工程師——傳統 Debug、文件審閱、基礎測試。這些恰好是 AI 最擅長取代的。數據已經說得很清楚：50% 的科技職缺要求 AI 技能，比一年前增加 98%。哈佛研究分析 2 億條招聘數據也發現，採用 AI 的公司初階職缺少了 7.7%，高階職位幾乎不受影響。市場要的是決策者，不是執行者

我認為未來的工程組織會長成鑽石型結構。頂端是一個有產品願景的 PM，能定義問題、對齊目標；中間是五到十個 AI 與架構工程師，設計系統、調度 Agent、把關品質；底部是大量 AI Agent 負責執行——寫程式、測試、部署、文件。這個結構下，最稀缺的不是能寫程式的人，而是能看懂業務、翻譯需求、讓 AI 真正落地的人。
這正是 FDE（前線部署工程師）在做的事

2025 年 FDE 職缺暴增超過 8 倍，是所有工程職位中成長最快的類別。傳統產業導入 AI 的第一個工程師職缺，反而可能是現在最好的切入點——不需要進到頻繁裁員的科技公司，製造業、零售業、物流業才是真正的機會所在

如果你有工程背景，再加上一點業務溝通能力，你的組合正在變得稀缺，而不是過剩。與其等工作經驗，不如用 AI 建立作品集。現在市場要的，是能把 AI 真正裝進真實世界的人

#軟體工程師 #AI就業 #職涯轉型 #FDE #鑽石型組織",,0,"02/27/2026 19:59",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid038GFfSAWfiKptf5u6XeKqeeZJPnG9s5KUn5wq2d1fZ7QU4KGWkbYWpse2qdobRMPl&id=100064324411149,0,0,相片,,,,,總期間,383,185,5,4,0,1,11,9,2,,,,,,
1336033835217418,100064324411149,跨界銀行家尼爾斯,"過去一年我也是這樣帶團隊，但發現部份經驗與好奇心不足的人（例如一些實習生）會對這種工作型態無所適從

個人感覺，這大概就是一種挑選未來人才的方法

https://www.facebook.com/share/p/1Arib7CvXK/?mibextid=wwXIfr",,0,"02/21/2026 03:40",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02xBUZUnS1ub5246tdVTXWnmViHb8yWPQWR2CDMBMXjvtDGWhn2C79x6WJyRWJD9Jyl&id=100064324411149,0,1,相片,,,,,總期間,61,32,1,1,0,0,1,1,,,,,,,
1309383221215813,100064324411149,跨界銀行家尼爾斯,"【招募實習生｜海外 AI Agent 平台｜全端/後端/GenAI】

我們在國泰世華銀行和國泰金控海外事業體內部做一個「真的會上線、真的有人用」的 AI Agent 平台：把 GenAI 串進工作流程，從資料處理/檢索，到 tools & workflows 的調度、權限與記錄，做成可重用的平台能力。

你會接觸：

• PoC → MVP 快速迭代，也會碰到正式上線要面對的工程規格、觀測、資安/合規

• GCP（Cloud Run/Cloud SQL/Storage）+ Vertex AI / Gemini 等 GenAI 串接

• RAG / parsing / indexing / eval（依能力分配）

我們在找你（擇一強項即可）：

• 全端：TypeScript/React（或類似）+ API 串接

• 後端：Python/Node.js（任一）+ REST/DB 基礎

• GenAI：會做 prompt/eval/retrieval，願意把研究變成工程

加分：有 side project、GitHub、雲端部署、向量 DB / Graph 經驗

地點：台北／混合（依安排）

有興趣請私訊我：履歷 + GitHub/作品 + 想投方向（全端/後端/GenAI）+ 最想學的 1 件事",,0,"01/21/2026 02:49",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02gx5KyQP4Kub3M5MqnhGxLGBra6hRNCV5PZyP8Negdb3ufePiQq7PShpFid1cf6dRl&id=100064324411149,0,0,文字,,,,,總期間,75,28,2,2,0,0,2,2,,,,,,,
1303911121763023,100064324411149,跨界銀行家尼爾斯,"做了一個AI Browser，能自動記錄所有思考過程、查詢軌跡、自動判斷是否需要截圖，並在最後輸出一份調查報告

https://youtu.be/Hk_42hV7q2Q?si=Rp9k7AQml9Gm0c6L","做了一個AI Browser，能自動記錄所有思考過程、查詢軌跡、自動判斷是否需要截圖，並在最後輸出一份調查報告

https://youtu.be/Hk_42hV7q2Q?si=Rp9k7AQml9Gm0c6L",67,"01/13/2026 23:54",N/A,https://www.facebook.com/reel/1186704713630093/,0,0,影片,,,,,總期間,42,25,2,1,0,1,2,2,,,308.954,8.35,0,0,0
1283540070466795,100064324411149,跨界銀行家尼爾斯,"過去曾有段時間，「AI」這個詞在學術圈（特別是幾次 AI 寒冬之後）帶有負面標籤，資訊工程領域的一些專家學者如果聽到有人講 AI，可能會覺得這個人太會吹、但不夠嚴謹，並且質問道：為什麼會相信你無法掌握、無法清楚驗證的東西？Geoffrey Hinton 也曾回憶自己早年在學界因為做神經網路而被強烈質疑、甚至被罵到吵起來。

但今天的發展我們都知道了：Hinton 獲得了 2018 年圖靈獎，並在 2024 年獲得諾貝爾物理學獎。
而 Demis Hassabis 也在 2024 年因 AlphaFold 相關成果獲得諾貝爾化學獎。

AI 正在改變世界。",,0,"12/17/2025 01:30",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02vBvzUMvTh6wbaJqhs7vmMCpBPwhKUDdERzPQDRMgoUtkPbrji4ZpE8ubsfWgBSp9l&id=100064324411149,0,0,文字,,,,,總期間,231,90,3,1,1,1,8,8,,,,,,,
1280547457432723,100064324411149,跨界銀行家尼爾斯,"這兩天這篇文蠻熱門的，看得出來作者是一位業內專家，講 Google 在 NeurIPS 2025 的 Nested Learning / HOPE，

我自己的感覺是Transformer 在幾年內可能就要被換掉了，nested learning可能讓模型的記憶運作更像人一點

如果用股市角度來看，
我會把這個技術先當成一個小雷達，提醒自己
未來 AI 推論的成本結構，可能會慢慢變，不一定永遠都是一直堆記憶體就好，可能會更看重算力怎麼用得漂亮，互連怎麼做，整台機器怎麼配，整體AI領域賽道將重置",,0,"12/12/2025 22:17",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0rfpTUoDr15QwNRLx9vVMqWTPwFL2kAFGkGTdxfcqcNdUF81juaCTm6nn7q1ZQ5svl&id=100064324411149,0,0,連結,,,,,總期間,495,190,9,3,5,1,61,54,,7,,,,,
1275907737896695,100064324411149,跨界銀行家尼爾斯,"［關於Perplexity的困境］

在Perplexity剛出世的時候我就覺得我們團隊也做得出一樣的產品，甚至能一樣好

事實上，只要是一般夠有 sense 的開發團隊，都做得出類似的產品，技術本身沒有太強的護城河

現在Perplexity面對的，反而比較像是一個「位置」的考驗，一邊要扛起「AI 搜尋新一代」這個期待，一邊又被各種內容方用法律與商業談判來拉扯，從早期的 Forbes、Dow Jones，到現在《紐約時報》正式提告版權侵權，整個產業都在一起摸索 AI 搜尋的邊界 ￼

我自己會比較好奇的是，在這麼多壓力之下，Perplexity 能不能走出一條「內容方、使用者、自己」都覺得還算公平的合作模式

如果做得到，也許就有機會把現在的困境，變成下一階段的起點

",,0,"12/06/2025 19:50",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02vgytJGgWdwwKDzYNen4khqTHCX8VWW6PLHHveSGsE4uDs6rz96JGCgvc5c5zmLYzl&id=100064324411149,0,0,連結,,,,,總期間,82,41,1,1,0,0,0,,,,,,,,
1275428597944609,100064324411149,跨界銀行家尼爾斯,"Google 把 Gemini 3 Pro 和 Antigravity 推上來之後
我開始重新思考「開發者跟 AI 的關係」這件事

這一波更新，很直白地釋出一個訊號：
AI 不再只是 demo 或 side project 的玩具，而是變成雲端基礎設施的一環，從模型，到 API，到像 Antigravity 這種幫你處理配額與資源調度的服務，其實都在幫開發者把「心力」往上拉一層，少煩惱一點底層細節，多花時間在產品和使用者上

對在企業裡做 AI 的團隊來說，我自己會把這類更新拆成三個角度來看：

一是「角色的升級」，
以前工程師要自己顧 infra、自建工具鏈，很多時間卡在環境、佈署、調整參數
現在雲端廠商把這些越包越好，我們反而有空間重新定義團隊角色
例如，把一部分精力轉向 AI Product、AI Governance、Data Contract 等等，
讓人真的站在「決策與價值」那一層，而不是永遠困在 pipeline 的 troubleshooting 裡

二是「實驗的速度」，
像 Antigravity 這類服務，把使用限制放寬、讓你可以更安心地做大量試驗
對內部團隊來說，就比較有機會做系統化的 ab test、prompt 版本管理、不同模型的對比
而不是每次實驗都在擔心配額、速度跟穩定性
當實驗變便宜、變快，很多以前覺得不值得試的想法，其實可以被搬上檯面，變成真實的產品選項

三是「平台思維」，
當 Google、OpenAI、其他雲端廠商都在往「AI 平台」靠攏，企業內部如果還是只用「單一 chatbot 專案」來思考 AI 就會很難接住這些新能力，我反而會傾向往「AI 能力層」去設計，把檢索、推理、工具使用、審計、金鑰管理都抽成共用模組
前面這些雲端服務，剛好可以接在這一層下面，讓我們少造一點輪子，多專注在自己獨特的 domain know how 上

對我自己來說，看到這些更新，心裡浮現的關鍵字是「選擇權」，我們多了一些不用從零開始的選擇權，也多了一些把時間留給團隊、留給使用者、留給產品路線圖的選擇權

工具在變，角色就有機會跟著變，接下來幾年，誰能把「工具進化」跟「組織能力進化」綁在一起，誰就會在這一波 AI 浪潮裡走得比較穩",,0,"12/06/2025 04:04",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02abpUbF47hnCgA91arFPoXNVqSw324exrw5pWxzMfGQi1yHAC19X75fvwsuuSzdMPl&id=100064324411149,0,0,相片,,,,,總期間,96,35,2,1,1,0,8,7,1,,,,,,
1272607354893400,100064324411149,跨界銀行家尼爾斯,"週日第一次參加DevFest Taipei 2025，分享我的題目後獲得了高品質的意見交流，很高興有這個機會參與這場盛會，接下來持續完善整個平台，期待下次DevFest與大家分享更豐富的作品

#DevFestTaipei #AIAgent #Ontology #GraphRAG

以下是此次分享的大綱與重點：

AI 教練投影片｜重點記錄＆大綱

1) 重點記錄

這不是聊天機器人，而是一個「擬人教練團（Agents Team）」
用多個 Agent 分工，把海外業務訓練做成 24/7 的個人化對練系統，主打「真實感」的銷售對話模擬（保險＋消費金融）。

目前已有初步成效數字

118 人參與測試
滿意度有兩種口徑：
問卷 86%（以使用人數為分母）
系統統計 96%（以使用次數為分母）
產品起源＝解決業務訓練痛點

高流動率
商品知識/話術需要加強
培訓成效難量化、難追蹤
因此希望：24/7 對練＋可查詢產品/話術＋完整練習紀錄，提升新人表現與管理可視度。
核心互動：「三代理協作」

Customer Generation Agent：設定場景、生成客戶 persona
Customer Agent：扮演客戶（帶情緒與行為，必要時可掛電話）
Coach Agent：結束後評分與回饋，並示範更好的說法（可用檢索/知識支援）
訓練不是只給分數，而是給「可執行的下一步」
用 Rubrics（規準式）回饋：指出問題、給建議、甚至直接示範更好的講法。

真實感的來源：Persona World（心理層）
不是只靠人口統計資料，而是把 心理特質、價值觀、行為模式 一起注入，讓客戶更像真人。

技術觀點：Context Engineering 是智慧核心
用「多層 Context 堆疊」讓所有 Agent 在同一世界觀下理解情境、人物、狀態，提升一致性與表現。

更大的願景：從 AI 教練擴成企業級 AI Agent 平台
多代理、Persona、Rubrics 都被定位成可複用核心能力，要平台化成「企業共用能力」。

“懂規則”的方法：Ontology + GraphRAG（受 Palantir 啟發）
把產品、風險、法規、客戶等「關係」建成圖；GraphRAG 讓 Agent 檢索時能沿圖找上下游關聯並連到文件與 SOP。

前瞻方向：Graph-R1（Agentic GraphRAG + RL）
關注三個革新：

hypergraph（更快、更省成本）
多輪對話式探索（更會問、更會挖）
端到端強化學習（优化「找→讀→答」的整條路徑）
目標：打造數據飛輪。
管理/洞察層的價值
當所有對練都在平台發生，就能做：
Training analytics（學習歷程、弱點分佈）
Sales quality（常見異議、高風險說法、合規風險）
Market intelligence（跨市場 persona 差異、戰術差異）
平台架構重點：總機 + 記憶 + 工具 + 反思
有「平台總機」負責：場景設定檔選擇、長期記憶管理、任務拆解、自我反思、工具使用、知識解析與組裝；協助 Agent 從「經驗」升級成「專家」。
2) 大綱（投影片主線／講稿骨架）

2.1 開場：一句話定位 + Proof

一句話：AI 教練是「擬人教練團」的企業落地
成效：118 人測試、滿意度兩種口徑（問卷/系統）
2.2 問題定義：為什麼要做

海外業務訓練困境：流動率、知識、成效追蹤
需要：更可規模化、更可量化、更即時的訓練方案
2.3 解法概念：不是 chatbot，而是 Agents Team

24/7 個人化對練
適用場景：保險＋消費金融
三代理分工：生成客戶 → 扮演客戶 → 教練回饋
2.4 產品方法論：怎麼做到「像真人」且「學得到」

Persona World：心理特質/價值觀/行為注入
Rubrics：規準式評分與可執行回饋＋示範
Context Engineering：多層 context 讓 Agent 真的理解
2.5 企業級能力：懂對話，更要懂規則

Ontology 讓「世界可被模型理解」：名詞→動詞→決策
GraphRAG 讓檢索更像人類思考：沿關係找上下文 + SOP 文件
2.6 前瞻：Graph-R1 與數據飛輪

hypergraph / 多輪探索 / 端到端 RL
把每次對練變成可學習的數據資產
2.7 洞察與管理：平台化的回收價值

Training analytics / Sales quality / Market intelligence
用數據把培訓變成可管理的「產品」
2.8 收束：AI 教練只是起點 → AI Agent 平台

平台總機負責：配置、記憶、工具、反思、知識組裝
可擴展到更多職能/更多市場

3) 一頁式 Takeaways

定位：AI 教練 = 企業落地的 Agents Team 訓練平台
證據：118 人測試；滿意度 86%（問卷）/ 96%（系統）
方法：三代理（生成客戶/客戶扮演/教練回饋） + Persona World + Rubrics + Context Engineering
能力：Ontology + GraphRAG 讓系統「懂規則、懂上下文」
路線：Graph-R1（Agentic GraphRAG + RL）→ 數據飛輪
價值：訓練可規模化、可量化；並產出管理洞察（training/sales/market）",,0,"12/02/2025 07:10",N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid04pszuD3u9Yz6UP6hF7ed8vTchiZcHtpmEH4wURf8U7zRjHcDphdvDUSBUFPLDg7Jl&id=100064324411149,0,0,相片,,,,,總期間,56,25,0,0,0,0,1,,1,,,,,,
